사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차
2021-11,2호선,25,잠실나루,6,0,"2,816","1,668","10,647","9,297","36,140","21,408","46,266","38,408","27,654","25,936","22,116","17,626","21,529","15,305","21,005","19,343","19,310","19,134","21,091","18,681","22,256","17,297","28,595","18,767","34,795","24,820","29,854","38,433","13,744","28,063","10,028","16,380","7,433","15,835","5,498","15,160","1,871","8,313",11,740,0,1,0,1,0,0
2021-11,2호선,26,잠실(송파구청),99,25,"10,482","4,845","44,146","38,589","106,297","71,778","155,321","162,399","111,628","148,761","73,892","99,882","73,440","97,409","80,391","94,585","85,881","96,662","90,557","96,770","102,006","105,413","125,292","119,525","168,259","154,557","209,719","219,996","138,887","140,262","145,172","84,449","122,688","79,480","86,757","72,791","21,434","42,920",87,"3,633",0,0,0,0,0,0
2021-11,2호선,27,잠실새내,34,1,"4,357",797,"15,249","9,568","50,949","15,925","71,481","27,702","42,433","29,496","28,379","22,268","26,557","23,431","28,287","26,910","28,599","29,323","27,024","29,707","30,684","35,595","33,458","40,005","37,302","54,910","39,613","83,103","27,810","55,713","24,622","30,527","24,072","26,357","24,054","24,770","11,002","13,969",30,"1,451",1,1,0,0,0,0
2021-11,2호선,28,종합운동장,2,0,"1,457",943,"5,346","7,285","15,041","13,928","22,408","23,875","15,888","12,564","10,274","8,823","9,744","7,871","9,844","12,002","9,632","16,386","9,312","12,696","11,025","13,308","15,925","17,211","22,912","35,018","21,043","48,043","9,360","19,275","9,781","9,622","17,603","9,603","36,548","9,586","3,061","5,437",23,731,0,1,1,1,0,0
2021-11,2호선,29,삼성(무역센터),136,2,"4,089","5,124","6,704","38,724","14,045","122,641","19,950","326,589","20,382","243,732","22,500","102,763","33,259","74,563","41,239","66,102","54,963","72,411","66,062","63,521","83,680","54,774","107,421","51,965","196,517","56,226","300,667","61,538","150,764","33,603","107,327","15,833","91,099","13,107","64,111","11,054","14,379","7,018",11,"4,117",0,0,0,0,0,0
2021-11,2호선,30,선릉,79,5,"4,139","6,266","9,867","39,668","19,455","103,446","30,494","277,587","29,556","226,860","33,416","100,401","43,025","64,011","51,393","56,620","60,462","62,331","70,105","52,346","90,050","47,715","119,525","45,263","185,305","51,459","290,840","56,418","138,345","32,783","84,706","18,534","82,780","16,060","71,587","14,488","22,053","10,111",25,519,0,0,0,0,0,0
2021-11,2호선,31,역삼,19,1,"3,343","6,538","7,898","37,652","14,770","124,348","25,430","332,036","21,854","307,189","22,712","122,461","31,102","64,739","37,982","55,810","45,540","59,680","54,776","49,392","71,894","44,480","94,569","43,270","192,363","51,398","287,726","61,604","147,879","34,511","80,431","18,887","79,153","15,095","63,972","13,072","18,651","8,730",26,211,1,0,0,0,0,0
2021-11,2호선,32,강남,219,4,"8,681","10,474","17,040","48,420","36,970","134,376","64,022","310,431","50,557","318,239","49,286","147,977","65,524","105,735","81,700","105,018","96,001","121,180","105,489","106,728","132,929","101,536","153,274","110,361","239,827","146,207","332,029","205,453","202,805","117,181","154,586","55,556","184,097","42,434","180,028","36,659","71,371","24,139",87,637,1,1,0,0,0,0
2021-11,2호선,33,교대(법원.검찰청),8,0,"2,301","7,082","11,282","24,589","23,697","50,070","34,802","149,977","27,565","143,379","26,211","67,644","31,883","55,373","34,834","50,982","42,599","54,082","51,082","49,208","56,593","46,497","61,644","48,175","98,134","60,121","143,622","74,317","64,879","42,325","50,525","22,152","54,248","19,732","44,749","17,951","15,442","12,576",41,418,0,0,1,1,0,0
2021-11,2호선,34,서초,61,0,"1,439","4,231","10,420","19,563","17,410","47,364","25,814","119,056","26,401","92,892","19,592","39,882","24,602","28,586","23,832","22,578","29,795","24,737","31,671","22,373","36,914","19,814","44,129","21,168","71,644","22,935","102,192","24,612","44,199","16,044","27,081","9,296","27,881","8,748","17,421","8,815","5,461","5,097",9,62,0,0,0,0,0,0
2021-11,2호선,35,방배,10,0,"2,260","2,824","8,827","10,988","21,280","25,660","31,710","75,885","24,798","50,720","17,973","25,347","19,023","22,889","21,853","22,424","23,798","24,299","24,608","23,441","28,261","22,934","33,445","24,545","45,081","30,873","68,721","39,177","28,599","27,115","20,699","16,651","21,244","15,089","16,711","15,163","5,862","8,642",11,269,0,0,0,0,0,0
2021-11,2호선,36,사당,78,6,"11,058","3,550","24,023","28,283","67,943","41,223","101,842","65,307","71,041","50,945","44,903","40,489","40,371","47,185","46,963","47,502","49,142","47,554","51,520","47,092","52,905","56,205","57,571","75,465","71,051","110,284","91,887","162,555","60,680","109,758","53,983","61,664","60,584","56,499","59,483","56,453","25,801","38,613",109,"3,668",0,0,0,0,0,0
2021-11,2호선,37,낙성대(강감찬),17,2,"10,751","1,888","25,131","9,145","76,034","17,422","126,536","38,085","78,387","30,365","40,793","24,079","34,746","21,400","36,976","25,244","36,599","26,123","33,265","28,748","33,704","33,406","37,617","41,199","45,922","57,873","49,638","94,953","26,785","84,923","20,189","51,821","19,142","48,093","14,523","51,274","5,913","29,170",15,"2,364",0,0,0,0,0,0
2021-11,2호선,38,서울대입구(관악구청),"4,611",35,"27,149","2,518","40,918","14,062","122,015","28,425","181,874","65,432","118,533","61,951","65,319","50,265","57,333","43,858","63,931","48,360","63,675","55,510","58,426","55,184","63,319","61,723","72,126","77,341","83,917","106,254","90,153","173,011","52,773","149,419","43,076","84,058","44,711","74,850","42,390","76,908","16,074","46,575",11,"14,536",0,0,0,0,0,0
2021-11,2호선,39,봉천,54,0,"14,955","1,182","27,540","6,915","77,109","11,080","121,875","25,854","71,307","19,700","37,076","18,274","30,367","18,933","32,221","20,728","31,582","23,835","27,144","25,279","26,233","32,618","28,799","39,035","29,662","52,495","32,972","83,514","17,701","71,142","13,620","42,035","12,787","39,457","9,713","36,399","3,294","22,116",2,993,0,0,0,0,0,0
2021-11,2호선,40,신림,316,20,"40,053","3,753","75,013","19,626","199,033","33,448","314,323","62,056","183,802","50,809","95,821","43,161","77,218","45,365","82,617","50,792","77,452","59,900","69,875","63,913","69,348","81,703","78,158","101,733","88,959","142,459","86,882","250,516","53,869","218,845","44,524","130,527","42,293","120,983","38,136","112,493","15,632","75,070",41,"2,472",0,2,1,1,0,0
